127.0.0.1 - - [22/Dec/2020:19:02:58 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/main.do HTTP/1.1" 200 11108
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/images/%EB%B2%A0%EB%84%882.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/images/%EB%B2%A0%EB%84%881.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/images/%EB%B2%A0%EB%84%883.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/images/%EB%B2%A0%EB%84%884.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/images/%EB%AA%A9%EB%A1%9D2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/images/%EB%AA%A9%EB%A1%9D1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/images/%EB%AA%A9%EB%A1%9D3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/images/%EB%AA%A9%EB%A1%9D4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/images/%EB%AA%A9%EB%A1%9D5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/images/%EC%9D%BD%EC%96%B4%EB%B3%B4%EA%B8%B01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/images/%EB%B2%A0%EB%84%885.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /LearningMarket/images/%EC%9D%BD%EC%96%B4%EB%B3%B4%EA%B8%B02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:03:26 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:04:05 +0900] "GET /LearningMarket/member/loginForm.do HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:04:05 +0900] "GET /LearningMarket/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:04:12 +0900] "POST /LearningMarket/member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:04:12 +0900] "POST /LearningMarket/member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2020:19:04:12 +0900] "GET /LearningMarket/main.do HTTP/1.1" 200 11546
